user,text,displayed_time,datetime_value
@PARAG_GHATAGE,"Wrapped up Google Summer of Code 2025 with @aossie_org ! Built Perspective, an AI pipeline that scrapes articles, generates counter-perspectives, and fact-checks in real-time. Looking for AI/ML Engineer roles - DM me if you want someone who ships code that matters!",Sep 8,2025-09-08T20:56:18.000Z
@D_last_Freeman,"Nigerians in the UK are mad, you are looking for an AI engineer with 5 years experience, salary is 500k .",Sep 8,2025-09-08T13:40:28.000Z
@sulbyee,"Hello everyone, I’m looking for an AI/ML Engineer Specialist for an exciting opportunity. If you’re interested, kindly send me a DM with your CV and portfolio. #HiringNow",Sep 6,2025-09-06T11:26:40.000Z
@cwy2099,Looking for a Technical Co-Founder – Aura AI We are not hiring employees—we are looking for co-founders Backend / AI Engineer Frontend Engineer Details will be shared after signing an NDA. Equity will be allocated based on contribution Contact: auraai8888@gmail.com #AI,Sep 4,2025-09-04T10:44:49.000Z
@AmiiThinks,"Ready to use your machine learning skills to make a real-world impact? Amii is looking for an Machine Learning Engineer to join our AI Trust and Safety team. If you're a problem-solver with a passion for trust & safety research, apply now: bit.ly/4mMTNWs",Sep 3,2025-09-03T16:00:00.000Z
@OlufemivictorT,"Update!: I'm back in school folks. If you're looking for me, I’ve been shipped to @cmu_africa for an MSc in AI. ETA: ~2 years Contents: caffeine, code, engineering, chaotic debugging Goal: Engineer intelligence, not lose mine This journey here has been a wild one, but I want",Sep 1,2025-09-01T09:55:28.000Z
@op_coder,Scopely is hiring for Intern Expected Stipend: 2-4 LPA Apply here: rolespot.space/jobs/scopely-i … Follow the Rolespot channel on WhatsApp: whatsapp.com/channel/0029Vb … for daily jobs,Aug 31,2025-08-31T15:08:18.000Z
@job_770,"We are a leading company building an innovative AI-powered platform, and we’re looking for passionate talents to join us. We are currently seeking: AI Fullstack Engineer UI/UX Designer If you are ambitious, innovative, and ready to shape the future with us, we’d love to hear",Aug 31,2025-08-31T05:23:06.000Z
@cwy2099,Looking for a Technical Co-Founder – Aura AI We are not hiring employees—we are looking for co-founders Backend / AI Engineer Frontend / UI Engineer Details will be shared after signing an NDA. Equity will be allocated based on contribution Contact: auraai8888@gmail.com #AI,Aug 25,2025-08-25T15:33:59.000Z
@DijobsUK,"NEW JOB: Data Engineer - AI Trainer: Remote, , United Kingdom DataAnnotation We are looking for a mathematician with an advanced degree to join our team to train AI models. You will measure the progress of these AI chatbots,… dlvr.it/TMgRD1 #jobs #jobsearch #hiring",Aug 25,2025-08-25T07:46:08.000Z
@cwy2099,Looking for a Technical Co-Founder – Aura AI We are not hiring employees—we are looking for co-founders Backend / AI Engineer Frontend / UI Engineer Details will be shared after signing an NDA. Equity will be allocated based on contribution Contact: auraai8888@gmail.com #AI,Aug 24,2025-08-24T09:21:24.000Z
@cryptobratan1,"Looking for a Founding Engineer / Senior Engineer with strong focus on AI & backend. 100% commitment, building from the ground up. It’s an App designed to go viral on TikTok. If you’re passionate about shaping a global app from day one, DM me.",Aug 23,2025-08-23T12:28:27.000Z
@cwy2099,Looking for a Technical Co-Founder – Aura AI We are not hiring employees—we are looking for co-founders Backend / AI Engineer Frontend / UI Engineer Details will be shared after signing an NDA. Equity will be allocated based on contribution Contact: auraai8888@gmail.com,Aug 23,2025-08-23T11:38:29.000Z
@ParasMadan9,"Hiring! Looking for an Outreach Intern who can work with me very closely and work on building up a solid AI Driven Sales Pipeline. Quick Intro: I’m Paras, an AI Engineer at Athina (YC 23) and a deep-tech creator with a 200k+ community on Instagram (AI devs, researchers, working",Aug 23,2025-08-23T08:35:24.000Z
@loiane,"We’re looking for a Full Stack Lead Engineer (SVP) in Lake Mary, FL (Orlando area, on-site). Tech stack: Java/Spring Boot + Angular. Join an incredible team + project! Details / Apply",Aug 23,2025-08-22T22:07:48.000Z
@LuRecruiter,"HIRING : AI Engineer Hybrid – São Paulo or Medellín or Bogota (3–4 days/week onsite) $100K–$200K USD + Equity + Benefits We’re looking for an AI Engineer with +2 years of experience in Python (FastAPI) and LLM orchestration (LangChain, CrewAI). You’ll build AI apps",Aug 22,2025-08-22T16:56:25.000Z
@cwy2099,Looking for a Technical Co-Founder – Aura AI We are not hiring employees—we are looking for co-founders Backend / AI Engineer Frontend / UI Engineer Details will be shared after signing an NDA. Equity will be allocated based on contribution Contact: auraai8888@gmail.com,Aug 22,2025-08-22T06:42:19.000Z
@mattshumer_,I’ve been working with a lot of fast growing AI companies and everyone is looking for great engineers. Anyone looking to join as an early engineer in NYC or SF?,Aug 21,2025-08-21T17:50:07.000Z
@shiryutwts,"hey folks, i have started looking out for roles as an MLE, AI engineer, Data Scientist etc, if yk someone currently hiring for these roles please reach out to me.. Remote job is very much preferred since i cant relocate at the moment Thanks fellas",Aug 21,2025-08-21T14:22:01.000Z
@Legal_Politics,"Once I get my Prompts down for my meeting notes etc. and engineer my AI to my voice I'm going to be looking at engineering my own Investment AI not to replace an investment manager but definitely get hooked up with the system. We need to teach kids ai, I gotta learn it NOW. ASAP!",Aug 21,2025-08-21T05:54:11.000Z
@Askofchanor,NAH is hiring! Looking for an AI/ML Engineer (Computer Vision) to join our founding team. Send CV → contact.naomijames@gmail.com #hiring #ai #machinelearning #nigeriadev,Aug 21,2025-08-21T04:41:18.000Z
@AryanTrivedi_7,"Hiring: AI ML Engineer (On-site, Noida | Full-time) 2+ years experience | Immediate Joiner | TensorFlow / PyTorch / Hugging Face | Dialogflow CX | Conversational AI | Voice (STT/TTS/Biometrics) | Cloud Looking for an AIML Engineer to build and deploy real-world AI solutions.",Aug 18,2025-08-18T10:25:48.000Z
@sunnymfmoney,"Looking for a senior full stack AI engineer/ AI solutions architect with development ops expertise… Bonus points if you enjoy astrology :) I already have an audience, data and analytics for the MVP",Aug 18,2025-08-18T00:57:41.000Z
@ben_didonato,I've worked as an engineer on a number of missile systems and can say with authority this isn't a thing. Deterministic algorithms are simply better in most applications. The only place AI could be of use is on semi-indiscriminate missiles you send blindly looking for targets.,Aug 17,2025-08-17T02:12:04.000Z
@JonathanRoseD,"Oh I'm now exploring new R&D related projects btw! Share around to anyone who may be looking for an oldie 20yr polygot engineer, product developer, and unabashed team cheerleader. Bonus if it involves AI applied in novel ways to new domains.",Aug 15,2025-08-15T19:20:08.000Z
@JobFinder9ja,We’re #Hiring! Ethnos is looking for an experienced AI/ML Engineer to join our team. Think you’re the right fit? Click here ( lnkd.in/dnJGHV78) to learn more and apply. Know someone perfect for the role? Repost and share! Phyna,Aug 15,2025-08-15T14:12:33.000Z
@ethnoscyber,We’re Hiring! Ethnos is looking for an experienced AI/ML Engineer to join our team. Think you’re the right fit? Click here ( tinyurl.com/3fs5db9e) to learn more and apply. Know someone perfect for the role? Repost and share!,Aug 15,2025-08-15T08:37:58.000Z
@christianloopp,"We’re looking for an exceptional engineer who is meticulous and cares deeply about the smallest details. If you're obsessed with user experience, you'll fit right in. When you're building the tools that build Apple, every detail matters. Apply Now jobs.apple.com/en-us/details/ …",Aug 15,2025-08-14T22:13:01.000Z
@grinch_eng,"Curious about what will happen with the future of AI pricing. High usage memberships are hundreds of dollars a month. $300/mo is reasonable if it can actually code like an engineer, but will the world spend more time looking for cheap alternatives rather than actually pay?",Aug 14,2025-08-14T13:43:34.000Z
@h9801371,"Agent Factory and agentic AI sound interesting! As an IT engineer, I'm always looking for new ways to improve development. I'll have to dive deeper into this. #AI #AgentFactory #ITエンジニア",Aug 14,2025-08-14T07:39:26.000Z
@Abiodun0x,"Looking for a cracked frontend engineer to help shape the @trydecide_ experience. Not an immediate hire, but pitch me early at ab@trydecide.co. Requirements: - Skilled at using AI - Framework-agnostic, but great at crafting exceptional user experiences",Aug 13,2025-08-13T06:29:21.000Z
@tanavtwt,"Hi! I'm a software engineer from Bhilwara passionate about GenAI and agentic systems. Built an AI assistant with PydanticAI supporting voice calls, web browsing, WhatsApp automation, and task planning. Looking for GenAI research intern opportunities. Happy to share my work!",Aug 13,2025-08-13T05:58:37.000Z
@gedtalentweb3,"We’re looking for an AI Engineer to design machine learning systems that power next-gen Web3 tooling. Work on LLM pipelines, AI agents & edge-case data. Apply: careers-page.com/talentweb3/job … #AIJobs #Web3Infra #MLEngineer",Aug 6,2025-08-06T02:05:00.000Z
@pelavarre,""""""" BTW if you are an engineer nodding along to this, come work with Julie Zhuo @TeamSundial ! Looking for generalists in Bay Area with 2+ years experience, obsessed with AI and analytically rigorous. DMs are open """"""",Aug 6,2025-08-06T00:50:09.000Z
@joulee,"BTW if you are an engineer nodding along to this, come work with me @TeamSundial ! Looking for generalists in Bay Area with 2+ years experience, obsessed with AI and analytically rigorous. DMs are open.",Aug 6,2025-08-06T00:16:46.000Z
@wickedSchema,"I am interested, I have been looking for an opportunity like this to put my hand on Ai development. Currently a backend engineer, I would love to have hands on project on this. Pleaaaaseeeeeeeeeeeee",Aug 5,2025-08-05T19:53:38.000Z
@stratifixyz,Hiring: ML Engineer to help us train smarter. We’re building AI agents to automate yield farming in DeFi. Now looking for an ML Engineer to help us build the brains behind it. You’ll: – Work with onchain data – Train models for strategy optimization – Collaborate with DeFi,Aug 4,2025-08-04T16:08:55.000Z
@Expertia_Jobs,Ready to power up IT infrastructure? EIL Global IT Solutions and Services Pvt Ltd is looking for an ICT Infrastructure Engineer! Dive into the future of technology with us. Apply now: expertia.ai/eilglobal/job/ … #expertiaJobs #hiring,Aug 4,2025-08-04T10:02:48.000Z
@stannostudio,"Looking for a killer iOS engineer (SwiftUI) to join me in building @soarapp . Early traction, funded, AI cooking, just need someone who can help us move fast and ship. bonus if you’ve got an eye for design & animation. DM or tag someone great.",Aug 3,2025-08-03T19:40:30.000Z
@nkohari,"If you want to work at an early stage startup, but don't want to deal with toxic nonsense like this: ardent.ai/careers We're looking for a founding engineer and designer. $250K/year + 1% equity, full benefits, 401(k) match. More about us: ardent.ai/company",Aug 3,2025-08-03T19:32:06.000Z
@arkslife,"We’re looking for an AI/ML engineer (video-focused) to join @petpinai . If you’re into pets, viral content, and training models on real pet moments that stick and spread, reach out. SF based is a plus. DM me or tag someone perfect for this",Aug 3,2025-08-03T14:45:39.000Z
@geverduin,Friend is looking for a great founding engineer for their AI startup with an ambitious and worthy mission. My DMs are open if you want more info and an intro,Jul 29,2025-07-29T04:38:34.000Z
@danshipper,"i'm looking for a social media engineer for @every . this is you if you: - are an extremely online poaster - love AI and building quick apps and MVPs with agents - are multidimensional (love writing, code, philosophy, art, etc) - are multithreaded (comfortable working on a bunch",Jul 28,2025-07-28T15:43:42.000Z
@Bear_In_Site,I'm best maximized when I'm around idea guys. I'm an AI engineer looking for interesting work. Willing to work by the project,Jul 28,2025-07-28T14:10:39.000Z
@mudit_bhargava_,"Building an AI-powered Equalization & BER Prediction engine for SerDes validation inside SVF. Need help: If you're a company or SerDes engineer with waveform datasets (eye diagrams, BER vs voltage sweeps, TX EQ configs), I'm looking to collaborate—DMs open. #PCIe #SerDes #AI",Jul 26,2025-07-26T19:57:01.000Z
@JadeWillia87063,"Looking for an ML/AI engineer for a project-based role. Small, focused build — ideal for someone who loves shipping fast and smart. Remote OK. If you're hands-on with models, data & deployment — DM me for details. #AIJobs #MLContract #FreelanceAI #TechJobs",Jul 25,2025-07-25T08:38:27.000Z
@lucifer_x007,"Hey folks! I'm looking for new roles as an AI/ML - NLP Engineer ( mid level ) YOE - 3.7 years Btech - ECE, 2022 Intern @ IISc, Bangalore in Speec and Vision - Immediate Joiner - Open to Remote / Hybrid — BLR | HYD | MUM | DEL | PUN | MAA Full Resume Link: In Reply Share",Jul 25,2025-07-25T04:42:39.000Z
@dvc_collective,"DVC is hiring! We’re building an open-source, AI-native VC stack — and looking for a Senior Python Backend Engineer (remote ). Work on: Data pipelines Portfolio dashboards Event-driven systems AI/ML integrations Apply here →",Jul 25,2025-07-24T21:26:06.000Z
@mr_dmj1,"Looking for talented folks to work on an exciting project: 1. Backend engineer: experience working with LLMs & AI systems. 2. Mobile dev: If you have cross-platform experience and can translate designs into pixel-perfect code, we need to talk. DM me if any of this is you.",Jul 24,2025-07-24T09:31:03.000Z
@PlutoEducation,"Hiring Update! Looking for an AI Engineer – Computer Vision & GenAI Specialist @KAUST Deadline: Aug 15, 2025 Apply: plutoedu.com/form/792303151 #AI #Hiring #ComputerVision #GenerativeAI #KAUST #XrayCT #DeepLearning",Jul 24,2025-07-24T07:42:07.000Z
@Belialoglu,Good morning friends. The ways @Infinit_Labs combines decentralized infrastructure with AI tools are making real-world services more accessible. You don't need to be an engineer to see the value here. They're creating smoother paths for developers and creators looking to,Jul 24,2025-07-24T05:51:22.000Z
@Flomerboy,if I was an engineer looking for a high growth startup opportunity I think I'd be most excited about Mastra mastra.ai/careers just based on my experience as a customer,Jul 23,2025-07-23T17:18:32.000Z
@ericjang11,I'm looking to hire a full-stack robot learning engineer who has good software taste and is looking to post-train our Redwood AI model for an existing 1X customer in Asia. this is someone who can ship incredibly fast (can code on the floor of the customer warehouse / factory /,Jul 20,2025-07-20T18:47:15.000Z
@Krishna__Bansal,"I've taken @doesmyideaexist a solo project to a viral tool with real validation. Now, it's time to build the empire. I'm looking for two key partners: A growth/marketing lead obsessed with building a world-class brand. An AI/ML engineer who wants to build the next apple.",Jul 20,2025-07-20T08:28:15.000Z
@heyadam,I’m hiring for an exciting and rare opportunity at Meta! We’re looking for a Design Engineer to help build the future of our AI design tools. Full details:,Jul 19,2025-07-19T15:00:40.000Z
@orcatwt,"We're Hiring! Looking for an experienced Senior AI ML Engineer at Sereno. If you are interested, Please share your proof of work with a small introduction in comment section. Or, feel free to tag your friends. Position Summary: surl.li/ovtrwj Thank you!",Jul 19,2025-07-19T09:15:30.000Z
@abhisheknaironx,"This is the CEO of Zapier quoting the Global DevRel of Intel. Everyone is looking for an AI automation engineer, and don't confuse it with an AI engineer. AI/ML engineers are everywhere, & the field is quite saturated. AAEs are different and more useful. How to get hired:",Jul 19,2025-07-19T07:01:02.000Z
@dr_mccarron,"@stefan_hamann Question, are you currently working on a big project? We are looking for an engineer for a Ai Agent project. I read your last post, I believe it was your last, and that’s all I needed to know you would fit the bill. Please let me know if this peaks your",Jul 17,2025-07-17T06:36:56.000Z
